title,author,category,rating,description,url
花千骨（上下）,Fresh果果,,7.6,Fresh果果 / 北方妇女儿童出版社 / 2009 / 56.00元,https://book.douban.com/subject/4224758/
仙俠奇緣之花千骨（五）,Fresh果果,,7.2,Fresh果果 / 藍襪子出版社 / 2010-6 / NTD 210,https://book.douban.com/subject/20428884/
仙俠奇緣之花千骨（三）,Fresh果果,,7.9,Fresh果果 / 藍襪子出版社 / 2010-6 / NTD 210,https://book.douban.com/subject/20428881/
仙俠奇緣之花千骨（四）,Fresh果果,,7.9,Fresh果果 / 藍襪子出版社 / 2010-6 / NTD 210,https://book.douban.com/subject/20428883/
仙俠奇緣之花千骨（一）,Fresh果果,,7.7,Fresh果果 / 藍襪子出版社 / 2010-5 / NTD 210,https://book.douban.com/subject/20428878/
仙俠奇緣之花千骨（二）,Fresh果果,,7.8,Fresh果果 / 藍襪子出版社 / 2010-5 / NTD 210,https://book.douban.com/subject/20428880/
历史,[法]克洛德·西蒙,历史,8.4,[法]克洛德·西蒙 / 于昕悦 / 唐淑文 / 南京大学出版社 / 2024-1 / 82.00,https://book.douban.com/subject/36255875/
历史 : 详注修订本,[古希腊] 希罗多德,历史,9.2,[古希腊] 希罗多德 / 徐松岩/译注 / 上海人民出版社 / 2018-4 / 148.00元,https://book.douban.com/subject/27624429/
中国大历史,黄仁宇,历史,8.3,黄仁宇 / 生活·读书·新知三联书店 / 2007-2 / 19.00元,https://book.douban.com/subject/1015699/
雨的历史,[爱尔兰] 尼尔·威廉斯,历史,8.1,[爱尔兰] 尼尔·威廉斯 / 刘西竹 / 浙江文艺出版社 / 2026-6 / 69.90元,https://book.douban.com/subject/37668036/
历史的巨镜,金观涛,历史,9.2,金观涛 / 法律出版社 / 2015-7-1 / 52.00元,https://book.douban.com/subject/26591910/
中国历史精神,钱穆,历史,8.3,钱穆 / 九州出版社 / 2012-2-1 / 24.00元,https://book.douban.com/subject/10435397/
